PMID,Diseases,GeneSymbol,EntrezGene
24634274,aggressive tumor behavior>MESH:D010554,p21-activated kinase (PAK)-1,5058
24634274,aggressive tumor behavior>MESH:D010554,PAK1,5058
24634274,aggressive tumor behavior>MESH:D010554,PAK2,5062
16826581,anemia>MESH:D000740,hypoxia-inducible factor (HIF)-1alpha,3091
16826581,anemia>MESH:D000740,HIF-2alpha,2034
16826581,anemia>MESH:D000740,HIF-1alpha,3091
16826581,anemia>MESH:D000740,carbonic anhydrase-9,768
16826581,anemia>MESH:D000740,CA-9,768
16092551,anxiety>MESH:D001008,TNM,10178
19276661,breast and skin cancer>MESH:D001943,CSMD1,64478
19276661,breast and skin cancer>MESH:D001943,Cub and Sushi Multiple Domains-1,64478
30308939,Breast Cancer>MESH:D001943,CCND2,894
26090866,cancer stemness>MESH:D009369,microRNA-494,723878
26090866,cancer stemness>MESH:D009369,Bmi1,12151
26090866,cancer stemness>MESH:D009369,ADAM10,11487
26090866,cancer stemness>MESH:D009369,ALDH1,11668
26090866,cancer stemness>MESH:D009369,CD133,19126
26090866,cancer stemness>MESH:D009369,CD44,12505
26090866,cancer stemness>MESH:D009369,miR-494,723878
24482145,cancer-testis>MESH:D013736,melanoma antigen-A family and NY-ESO-1,246100
24482145,cancer-testis>MESH:D013736,NY-ESO-1,246100
24482145,cancer-testis>MESH:D013736,MAGE-A3,4102
27583873,cancer>MESH:D009369,Selenium-binding protein 1,8991
27583873,cancer>MESH:D009369,SELENBP1,8991
28301959,cancer>MESH:D009369,C-reactive protein,1401
28301959,cancer>MESH:D009369,CRP,1401
28301959,cancer>MESH:D009369,CRP  1,1053
29888653,cancer>MESH:D009369,CD44,960
29888653,cancer>MESH:D009369,CD45,5788
29888653,cancer>MESH:D009369,CD31,5175
29888653,cancer>MESH:D009369,PCDH18,54510
29888653,cancer>MESH:D009369,MGP,4256
29888653,cancer>MESH:D009369,SPARCL1,8404
29888653,cancer>MESH:D009369,KRTDAP,388533
21514878,cancer>MESH:D009369,CD44,960
21514878,cancer>MESH:D009369,TNM,10178
23672832,cancer>MESH:D009369,Cyclin D1,595
23672832,cancer>MESH:D009369,cyclin D1,595
23672832,cancer>MESH:D009369,TNM,10178
28601094,cancer>MESH:D009369,p16,1029
24770634,cancer>MESH:D009369,ALDH1A1,216
24770634,cancer>MESH:D009369,Twist1,7291
30591590,cancer>MESH:D009369,hypoxia-inducible factor-2alpha,2034
30591590,cancer>MESH:D009369,Hypoxia-inducible factor-2alpha,2034
30591590,cancer>MESH:D009369,HIF-2alpha,2034
22245045,cancer>MESH:D009369,Plectin,5339
22245045,cancer>MESH:D009369,plectin,5339
22245045,cancer>MESH:D009369,Erk 1/2,5595;5594
22245045,cancer>MESH:D009369,E-cadherin,999
21045690,cancer>MESH:D009369,TP53,7157
21045690,cancer>MESH:D009369,EGFR,1956
25819524,cancer>MESH:D009369,galectin-1,3956
25819524,cancer>MESH:D009369,galectin-3,3958
25819524,cancer>MESH:D009369,galectin-9,3965
27391431,cancer>MESH:D009369,HMGB1,3146
27391431,cancer>MESH:D009369,high mobility group box 1,3146
22381063,cancer>MESH:D009369,epidermal growth factor receptor,1956
27913065,cancer>MESH:D009369,DKTK-ROG,27033
27913065,cancer>MESH:D009369,p16,1029
27913065,cancer>MESH:D009369,SLC3A2,6520
27913065,cancer>MESH:D009369,CD44,960
29177949,cancer>MESH:D009369,CD45,5788
30171980,cancer>MESH:D009369,NY-ESO-1,246100
28975663,cancer>MESH:D009369,p16,1029
28975663,cancer>MESH:D009369,CD3,397455
28975663,cancer>MESH:D009369,PD-1,100037293
28975663,cancer>MESH:D009369,FOXP3,444998
28975663,cancer>MESH:D009369,CD163,397031
23124598,cancer>MESH:D009369,miR-708,100126333
23124598,cancer>MESH:D009369,miR-29c,407026
23124598,cancer>MESH:D009369,miR-30e,407034
23124598,cancer>MESH:D009369,miR-27b,407019
22944049,cancer>MESH:D009369,PRAME,23532
22944049,cancer>MESH:D009369,Preferentially Expressed Antigen in Melanoma,23532
22944049,cancer>MESH:D009369,retinoic acid receptor,5914
22944049,cancer>MESH:D009369,RAR,5914
31036064,cancer>MESH:D009369,KDM8,79831
31036064,cancer>MESH:D009369,KDM6B,23135
31036064,cancer>MESH:D009369,P4HTM,54681
31036064,cancer>MESH:D009369,ALKBH4,54784
31036064,cancer>MESH:D009369,ALKBH7,84266
31036064,cancer>MESH:D009369,KDM3A,55818
31036064,cancer>MESH:D009369,P4HA1,5033
31036064,cancer>MESH:D009369,ASPH,444
31036064,cancer>MESH:D009369,PLOD1,5351
31036064,cancer>MESH:D009369,PLOD2,5352
31036064,cancer>MESH:D009369,HNF4A,3172
29973584,cancer>MESH:D009369,NSD1,64324
14732777,cancer>MESH:D009369,metallopanstimulin-1,6232
14732777,cancer>MESH:D009369,MPS-1,6232
25965366,cancer>MESH:D009369,PD-L1,29126
25965366,cancer>MESH:D009369,programmed cell death ligand-1,29126
25965366,cancer>MESH:D009369,MEK,5609
25965366,cancer>MESH:D009369,BRAF,673
25965366,cancer>MESH:D009369,epidermal growth factor receptor,1956
25965366,cancer>MESH:D009369,OX40,7293
25965366,cancer>MESH:D009369,chemokine (C-C motif) receptor 4,1233
23416980,cancer>MESH:D009369,miR-125b-1,406911
23416980,cancer>MESH:D009369,TACSTD2,4070
23416980,cancer>MESH:D009369,miR,220972
23416980,cancer>MESH:D009369,TROP2,4070
23416980,cancer>MESH:D009369,cell-surface glycoprotein,9308
27344185,cancer>MESH:D009369,miR-497,574456
26716418,cancer>MESH:D009369,TGF-b,7040
24083732,cancer>MESH:D009369,p53,7157
24083732,cancer>MESH:D009369,eIF4E,1977
23481573,cancer>MESH:D009369,TEX101,83639
23481573,cancer>MESH:D009369,Ly6k,76486
23481573,cancer>MESH:D009369,TEX101,56746
23481573,cancer>MESH:D009369,LY6K,54742
23481573,cancer>MESH:D009369,Ly6k,54742
22917149,cancer>MESH:D009369,FOXM1,2305
30638277,cancer>MESH:D009369,CYP1A1,1543
30638277,cancer>MESH:D009369,CYP1A2,1544
30638277,cancer>MESH:D009369,CYP1B1,1545
30638277,cancer>MESH:D009369,AHR,196
23093268,cancer>MESH:D009369,prostate-specific antigen (PSA),354
27322459,cancer>MESH:D009369,PCAN-1,118425
25264224,cancer>MESH:D009369,aldehyde dehydrogenase 1,216
25264224,cancer>MESH:D009369,ALDH1,216
30539795,cancer>MESH:D009369,Eps8,2059
21933937,cancer>MESH:D009369,CD133,8842
21933937,cancer>MESH:D009369,CD44,960
18810378,cancer>MESH:D009369,FANCA,692125
28735466,cancer>MESH:D009369,MCT-1,6566
28735466,cancer>MESH:D009369,MCT-4,9123
28735466,cancer>MESH:D009369,GLUT-1,6513
28735466,cancer>MESH:D009369,GLUT-3,6515
11329776,cancer>MESH:D009369,TNM,10178
28961833,cancer>MESH:D009369,p16,1029
28961833,cancer>MESH:D009369,EGFR,1956
28961833,cancer>MESH:D009369,HER2,2064
28961833,cancer>MESH:D009369,HER3,2065
28961833,cancer>MESH:D009369,c-MET,4233
28961833,cancer>MESH:D009369,PTEN,5728
25751671,cancer>MESH:D009369,CD44,960
19450560,cancer>MESH:D009369,Aldehyde dehydrogenase 1,216
19450560,cancer>MESH:D009369,ALDH1,216
19450560,cancer>MESH:D009369,HNSCC-ALDH1,216
19450560,cancer>MESH:D009369,Snail,6615
19450560,cancer>MESH:D009369,CD44,960
19450560,cancer>MESH:D009369,CD24,100133941
29112953,cancer>MESH:D009369,ALDH1,216
29299828,cancer>MESH:D009369,Fibroblast growth factor receptor 1 and 3,2260;2261
29299828,cancer>MESH:D009369,FGFR1,2260
29299828,cancer>MESH:D009369,FGFR3,2261
29299828,cancer>MESH:D009369,SLUG,6591
29299828,cancer>MESH:D009369,FGFR1/3,2260;2261
30849309,cancer>MESH:D009369,SNHG1,23642
30849309,cancer>MESH:D009369,TNM,10178
29105536,cancer>MESH:D009369,SgK269,79834
29105536,cancer>MESH:D009369,SgK223,157285
29105536,cancer>MESH:D009369,PEAK1,315686
29105536,cancer>MESH:D009369,pragmin,306506
29105536,cancer>MESH:D009369,NACK,244418
29464864,cancer>MESH:D009369,BRCA,672
29464864,cancer>MESH:D009369,NEAT1,283131
29464864,cancer>MESH:D009369,TP53,7157
17364369,cancer>MESH:D009369,Thymidine phosphorylase,1890
17364369,cancer>MESH:D009369,thymidine phosphorylase,1890
17364369,cancer>MESH:D009369,TP,1890
17364369,cancer>MESH:D009369,thymidylate synthase,7298
17364369,cancer>MESH:D009369,TS,7298
17364369,cancer>MESH:D009369,dihydropyrimidine dehydrogenase,1806
17364369,cancer>MESH:D009369,DPD,1806
17364369,cancer>MESH:D009369,orotate phosphoribosyl transferase,7372
17364369,cancer>MESH:D009369,OPRT,7372
29577858,Cancer>MESH:D009369,GAGE1,2543
29577858,Cancer>MESH:D009369,XAGE1,653220
29577858,Cancer>MESH:D009369,ARMC3,219681
29577858,Cancer>MESH:D009369,DDX53,168400
29577858,Cancer>MESH:D009369,FTHL17,53940
29577858,Cancer>MESH:D009369,MAGEA11,4110
29577858,Cancer>MESH:D009369,SYCE1,93426
29577858,Cancer>MESH:D009369,TCP11,6954
26446381,Cancer>MESH:D009369,CD47,961
26446381,Cancer>MESH:D009369,SIRPa,140885
30813269,Cancer>MESH:D009369,Galectin-3 Binding Protein,3959
30813269,Cancer>MESH:D009369,CD44,960
30813269,Cancer>MESH:D009369,osteopontin,6696
29694965,Cancer>MESH:D009369,CASC2,255082
30453495,Cancer>MESH:D009369,Insulin Receptor,3643
30453495,Cancer>MESH:D009369,insulin receptor,3643
30453495,Cancer>MESH:D009369,IR,3643
30453495,Cancer>MESH:D009369,IGF-2,3481
30453495,Cancer>MESH:D009369,IGF-1R,3480
30542790,cancers>MESH:D009369,TP53,7157
30542790,cancers>MESH:D009369,p53,7157
30542790,cancers>MESH:D009369,BRCA,672
29342219,cancers>MESH:D009369,EEF1A2,1917
29342219,cancers>MESH:D009369,EEF1B2,1933
29342219,cancers>MESH:D009369,EEF1G,1937
29342219,cancers>MESH:D009369,EEF1D,1936
29342219,cancers>MESH:D009369,EEF1E1,9521
29342219,cancers>MESH:D009369,EEF2,1938
29342219,cancers>MESH:D009369,EEF1A1,1915
29342219,cancers>MESH:D009369,EEF1A,1915
30089404,cancers>MESH:D009369,MFAP4,4239
29555576,cancers>MESH:D009369,MORC2,22880
29555576,cancers>MESH:D009369,Microrchidia 2,22880
30596096,Cancers>MESH:D009369,miR-20a,406982
29854811,Carcinoma Cells>MESH:D002292,AIMP2,7965
29243779,carcinoma>MESH:D002277,NGX6,51754
31180550,carcinoma>MESH:D002277,Amyloid beta precursor protein,351
31180550,carcinoma>MESH:D002277,MAPK,5595;5595
31180550,carcinoma>MESH:D002277,amyloid beta precursor protein,351
31180550,carcinoma>MESH:D002277,matrix metalloproteinase (MMP)-2,4313
31180550,carcinoma>MESH:D002277,MMP-9,4318
31180550,carcinoma>MESH:D002277,tissue inhibitor of metalloproteinases 2,7077
31180550,carcinoma>MESH:D002277,p38,1432
31180550,carcinoma>MESH:D002277,extracellular signal--regulated kinases 1/2,5595
31180550,carcinoma>MESH:D002277,c-Jun N-terminal kinases 1/2,5599;5601
23001130,carcinoma>MESH:D002277,Ptch1,5727
23001130,carcinoma>MESH:D002277,Smo,6608
23001130,carcinoma>MESH:D002277,Gli-1,2735
29747653,carcinoma>MESH:D002277,CLDN11,5010
29747653,carcinoma>MESH:D002277,GATA1,2623
29747653,carcinoma>MESH:D002277,tubulin alpha-1b,10376
29747653,carcinoma>MESH:D002277,TUBA1B,10376
29747653,carcinoma>MESH:D002277,TUBB3,10381
27717372,cell lung cancer>MESH:D008175,programmed cell-death ligand 1,29126
27717372,cell lung cancer>MESH:D008175,PD-L1,29126
30761122,Colon Cancers>MESH:D015179,LAYN,143903
30761122,Colon Cancers>MESH:D015179,Layilin,143903
31130944,Complement Protein>MESH:D058495,C1q,712
25639759,Dysphagia>MESH:D003680,TNM,10178
30551505,ESCC>MESH:C562729,Rac1,5879
30716092,esophageal adenocarcinoma>MESH:D004941,CENPE,1062
30716092,esophageal adenocarcinoma>MESH:D004941,Centrosome-associated protein E,1062
30825353,esophageal cancer>MESH:D004938,SCCA1,6317
30825353,esophageal cancer>MESH:D004938,PD-L1,29126
30098109,esophageal cancer>MESH:D004938,TRIM44,54765
30098109,esophageal cancer>MESH:D004938,AKT,207
30098109,esophageal cancer>MESH:D004938,mTOR,2475
30098109,esophageal cancer>MESH:D004938,TRIM-containing protein 44,54765
30098109,esophageal cancer>MESH:D004938,TNM,10178
30098109,esophageal cancer>MESH:D004938,STAT3,6774
30735457,Esophageal Cancer>MESH:D004938,miR-148a,406940
30735457,Esophageal Cancer>MESH:D004938,DNMT1,1786
30735457,Esophageal Cancer>MESH:D004938,DNA (cytosine-5)-methyltransferase 1,1786
30735457,Esophageal Cancer>MESH:D004938,Annexin V,308
31115568,esophageal carcinoma>MESH:D004938,insulin-like growth factor 1 receptor,3480
31115568,esophageal carcinoma>MESH:D004938,miR,29116
31115568,esophageal carcinoma>MESH:D004938,IGF-1R,3480
31115568,esophageal carcinoma>MESH:D004938,miR-30a,407029
17552014,esophageal carcinoma>MESH:D004938,beta-catenin,1499
17552014,esophageal carcinoma>MESH:D004938,Beta-catenin,1499
30602370,esophageal squamous cell carcinoma>MESH:C562729,miR,220972
30602370,esophageal squamous cell carcinoma>MESH:C562729,miR-193b,574455
30602370,esophageal squamous cell carcinoma>MESH:C562729,SCC,6317
29423673,esophageal squamous cell carcinoma>MESH:C562729,JNK1,5599
29423673,esophageal squamous cell carcinoma>MESH:C562729,VDR,7421
29423673,esophageal squamous cell carcinoma>MESH:C562729,vitamin D receptor,7421
29423673,esophageal squamous cell carcinoma>MESH:C562729,c-jun NH2-terminal kinase 1,5599
24936140,esophageal squamous cell carcinoma>MESH:C562729,Cox,1351
24936140,esophageal squamous cell carcinoma>MESH:C562729,SOX17,64321
24936140,esophageal squamous cell carcinoma>MESH:C562729,DDIT3,1649
24936140,esophageal squamous cell carcinoma>MESH:C562729,FLT3,2322
24936140,esophageal squamous cell carcinoma>MESH:C562729,NTRK3,4916
24936140,esophageal squamous cell carcinoma>MESH:C562729,SEPT5,5413
24936140,esophageal squamous cell carcinoma>MESH:C562729,SEPT9,10801
24936140,esophageal squamous cell carcinoma>MESH:C562729,SOX1,6656
20491588,esophageal squamous cell carcinoma>MESH:C562729,Wnt1,7471
20491588,esophageal squamous cell carcinoma>MESH:C562729,beta-catenin,1499
20095995,esophageal squamous cell carcinoma>MESH:C562729,CFL1,1072
20095995,esophageal squamous cell carcinoma>MESH:C562729,N-WASP,8976
20095995,esophageal squamous cell carcinoma>MESH:C562729,Cofilin1,1072
20095995,esophageal squamous cell carcinoma>MESH:C562729,Neural Wiskott-Aldrich syndrome protein,8976
14522885,esophageal squamous cell carcinomas>MESH:C562729,ZASC1,51193
14522885,esophageal squamous cell carcinomas>MESH:C562729,Kruppel-like zinc finger protein,91975
14522885,esophageal squamous cell carcinomas>MESH:C562729,GLI1,2735
14522885,esophageal squamous cell carcinomas>MESH:C562729,ZNF147,7706
14522885,esophageal squamous cell carcinomas>MESH:C562729,PIK3CA,5290
25487446,gastric cancer>MESH:D013274,IGFR,3480
29999557,gastrointestinal cancer>MESH:D005770,B7-1/2,941;942
29999557,gastrointestinal cancer>MESH:D005770,B7-H1/DC,29126;80380
25043563,glottic cancer>MESH:D009369,EpCAM,4072
25043563,glottic cancer>MESH:D009369,epithelial cell adhesion molecule,4072
29634399,Glucose Metabolism>MESH:D044882,CD147,682
23978072,GPI anchored proteins>MESH:D058495,GPI transamidase,606750
23978072,GPI anchored proteins>MESH:D058495,GPI-T,606750
23978072,GPI anchored proteins>MESH:D058495,PIG-U,100154657
12861629,head and neck cancer metastasis>MESH:D006258,matrix metalloproteinase-2, -9, tissue inhibitor-1 of matrix metalloproteinase,4313;4318
12861629,head and neck cancer metastasis>MESH:D006258,CD44,960
12861629,head and neck cancer metastasis>MESH:D006258,matrix metalloproteinase-2, -9,4313;4318
12861629,head and neck cancer metastasis>MESH:D006258,MMP-2,4313
12861629,head and neck cancer metastasis>MESH:D006258,MMP-9,4318
12861629,head and neck cancer metastasis>MESH:D006258,TIMP-1,7076
12861629,head and neck cancer metastasis>MESH:D006258,HER2/neu,2064
12861629,head and neck cancer metastasis>MESH:D006258,p53,7157
12861629,head and neck cancer metastasis>MESH:D006258,HER2,2064
26057452,head and neck cancer>MESH:D006258,miR-574-3p,693159
24347532,head and neck cancer>MESH:D006258,Cox,1351
25770642,head and neck cancer>MESH:D006258,ADH1B,125
30552846,head and neck cancer>MESH:D006258,EGFR,1956
30552846,head and neck cancer>MESH:D006258,p16,1029
30552846,head and neck cancer>MESH:D006258,epidermal growth factor receptor,1956
