PMID,Diseases,GeneSymbol,EntrezGene
24634274,aggressive tumor behavior>MESH:D010554,p21-activated kinase (PAK)-1,5058
24634274,aggressive tumor behavior>MESH:D010554,PAK2,5062
16826581,anemia>MESH:D000740,hypoxia-inducible factor (HIF)-1alpha,3091
16826581,anemia>MESH:D000740,HIF-2alpha,2034
16826581,anemia>MESH:D000740,carbonic anhydrase-9,768
19276661,breast and skin cancer>MESH:D001943,CSMD1,64478
17089039,breast cancer>MESH:D001943,LY-6K,54742
26090866,cancer stemness>MESH:D009369,microRNA-494,723878
26090866,cancer stemness>MESH:D009369,Bmi1,12151
26090866,cancer stemness>MESH:D009369,ADAM10,11487
26090866,cancer stemness>MESH:D009369,ALDH1,11668
26090866,cancer stemness>MESH:D009369,CD133,19126
26090866,cancer stemness>MESH:D009369,CD44,12505
24482145,cancer-testis>MESH:D013736,melanoma antigen-A family and NY-ESO-1,246100
24482145,cancer-testis>MESH:D013736,MAGE-A3,4102
31838249,cancer>MESH:D009369,cyclin D1,595
31811857,cancer>MESH:D009369,ALDH1A1,216
31811857,cancer>MESH:D009369,CD44,960
31811857,cancer>MESH:D009369,CD24,100133941
31811857,cancer>MESH:D009369,CD133,8842
31444248,cancer>MESH:D009369,IMP-1,10642
31706685,cancer>MESH:D009369,DCLK1,9201
31036064,cancer>MESH:D009369,KDM8,79831
31036064,cancer>MESH:D009369,KDM6B,23135
31036064,cancer>MESH:D009369,P4HTM,54681
31036064,cancer>MESH:D009369,ALKBH4,54784
31036064,cancer>MESH:D009369,ALKBH7,84266
31036064,cancer>MESH:D009369,KDM3A,55818
31036064,cancer>MESH:D009369,P4HA1,5033
31036064,cancer>MESH:D009369,ASPH,444
31036064,cancer>MESH:D009369,PLOD1,5351
31036064,cancer>MESH:D009369,PLOD2,5352
31036064,cancer>MESH:D009369,HNF4A,3172
30638277,cancer>MESH:D009369,CYP1A1,1543
30638277,cancer>MESH:D009369,CYP1A2,1544
30638277,cancer>MESH:D009369,CYP1B1,1545
30638277,cancer>MESH:D009369,AHR,196
30636379,cancer>MESH:D009369,PAX1,5075
30636379,cancer>MESH:D009369,OFC2,4964
30527243,cancer>MESH:D009369,TP53,7157
29973584,cancer>MESH:D009369,NSD1,64324
29959873,cancer>MESH:D009369,CXCR4,7852
29959873,cancer>MESH:D009369,CXCL12,6387
30539795,cancer>MESH:D009369,Eps8,2059
30008265,cancer>MESH:D009369,MMP9,4318
30008265,cancer>MESH:D009369,TUBB6,84617
30008265,cancer>MESH:D009369,FEZ1,9638
30008265,cancer>MESH:D009369,CCT6A,908
30008265,cancer>MESH:D009369,OAS1,4938
